customer_id,join_date,region,preferred_store_id,acquisition_channel
C00001,09/01/2025,Chattogram,ST08,Walk-in
C00002,14/05/2018,Dhaka,ST07,Referral
C00003,2023-11-21,Rajshahi,ST12,Walk-in
C00004,2021-12-01,Dhaka,ST19,Referral
C00005,2021-09-04,Sylhet,ST02,Walk-in
C00006,04/04/2022, Chattogram ,ST08,Walk-in
C00007,"September 22, 2019",Khulna,ST01,Referral
C00008,2022-10-13,Dhaka,ST11,Online
C00009,"December 16, 2023",Dhaka,ST16,Walk-in
C00010,2020-10-18,Dhaka,ST01,Referral
C00011,2019-01-18,Chattogram,ST11,Walk-in
C00012,"February 3, 2021",Dhaka,ST09,Walk-in
C00013,03/08/2019,Rajshahi,ST16,Walk-in
C00014,2020-12-27,Dhaka,ST05,Online
C00015,2023-01-05,DHAKA,ST04,Online
C00016,2018-11-28,Chattogram,ST02,Referral
C00017,23/12/2023,,ST09,Online
C00018,"October 18, 2019",Khulna,ST10,Walk-in
C00019,"February 25, 2025",Rajshahi,ST19,Walk-in
C00020,2023-11-09,Sylhet,ST10,Walk-in
C00021,06/03/2020,Rajshahi,ST04,Online
C00022,"July 3, 2022",Rajshahi,ST14,Walk-in
C00023,20/11/2018,Dhaka,ST02,Online
C00024,"October 19, 2018",Sylhet,ST07,Online
C00025,2025-08-23,RAJSHAHI,ST14,Referral
C00026,"June 1, 2024", Dhaka ,ST06,Walk-in
C00027,"March 27, 2019",Sylhet,ST12,Walk-in
C00028,"April 5, 2020",Chattogram,ST10,Social Media
C00029,01/08/2019,Chattogram,ST20,Online
C00030,2021-02-27,Dhaka,ST06,Walk-in
C00031,30/04/2020,Sylhet,ST19,Online
C00032,2020-08-15,Khulna,ST13,Social Media
C00033,2022-03-26,Dhaka,ST15,Walk-in
C00034,2019-07-07,CHATTOGRAM,ST04,Social Media
C00035,2025-01-21,dhaka,ST01,Walk-in
C00036,26/10/2023,Dhaka,ST15,Social Media
C00037,30/01/2024,Barishal,ST10,Walk-in
C00038,"May 10, 2019",Chattogram,ST07,Walk-in
C00039,"August 30, 2023",,ST18,Walk-in
C00040,2024-09-07,Dhaka,ST07,Referral
C00041,"May 27, 2019",Barishal,ST09,Social Media
C00042,"January 3, 2024",Dhaka,ST15,Walk-in
C00043,2020-11-10,,ST20,Walk-in
C00044,2024-04-18,Dhaka,ST18,Walk-in
C00045,28/10/2021,Dhaka,ST14,Walk-in
C00046,2024-05-31,Rajshahi,ST03,Referral
C00047,2019-03-07,Dhaka,ST03,Walk-in
C00048,2021-02-10,Rajshahi,ST14,Social Media
C00049,09/03/2020,Dhaka,ST11,Social Media
C00050,2019-12-27,Rajshahi,ST03,Walk-in
C00051,"June 19, 2020",Rajshahi,ST14,Online
C00052,2021-01-21,Rajshahi,ST19,Social Media
C00053,2019-01-07,Dhaka,ST02,Referral
C00054,"August 27, 2023",Rajshahi,ST17,Online
C00055,26/05/2022,Barishal,ST07,Walk-in
C00056,2024-08-18,Dhaka,ST08,Walk-in
C00057,"August 21, 2023",Dhaka,ST15,Referral
C00058,12/03/2019,Khulna,ST05,Walk-in
C00059,2018-07-24,,ST04,Online
C00060,2021-05-19,Sylhet,ST20,Online
C00061,05/11/2021,Rajshahi,ST07,Walk-in
C00062,03/12/2019,Dhaka,ST04,Walk-in
C00063,03/04/2024,Sylhet,ST14,Walk-in
C00064,2022-08-26,Sylhet,ST05,Referral
C00065,25/12/2023,Dhaka,ST16,Walk-in
C00066,15/11/2018, Khulna ,ST02,Walk-in
C00067,"July 8, 2024",Dhaka,ST11,Social Media
C00068,25/08/2019, Chattogram ,ST09,Online
C00069,2021-08-01,Khulna,ST20,Online
C00070,"July 6, 2021",Dhaka,ST11,Referral
C00071,24/07/2024,Khulna,ST19,Walk-in
C00072,"March 19, 2020",DHAKA,ST05,Social Media
