snapshot_date,product_id,warehouse_id,stock_qty,reorder_point,stockout_flag,snapshot_granularity
2024-01-01,P001,W01,1254.0,523,False,weekly
08/01/2024,P001,W01,1048.0,523,False,weekly
2024-01-15,P001,W01,819.0,523,False,weekly
2024-01-22,P001,W01,602.0,523,False,weekly
"January 29, 2024",P001,W01,405.0,523,False,weekly
05/02/2024,P001,W01,195.0,523,False,weekly
2024-02-12,P001,W01,0.0,523,True,weekly
2024-02-19,P001,W01,0.0,523,True,weekly
26/02/2024,P001,W01,0.0,523,True,weekly
04/03/2024,P001,W01,0.0,523,True,weekly
"March 11, 2024",P001,W01,0.0,523,True,weekly
18/03/2024,P001,W01,0.0,523,True,weekly
"March 25, 2024",P001,W01,0.0,523,True,weekly
2024-04-01,P001,W01,0.0,523,True,weekly
2024-04-08,P001,W01,0.0,523,True,weekly
15/04/2024,P001,W01,0.0,523,True,weekly
22/04/2024,P001,W01,0.0,523,True,weekly
"April 29, 2024",P001,W01,0.0,523,True,weekly
"May 6, 2024",P001,W01,0.0,523,True,weekly
13/05/2024,P001,W01,0.0,523,True,weekly
2024-05-20,P001,W01,0.0,523,True,weekly
"May 27, 2024",P001,W01,0.0,523,True,weekly
"June 3, 2024",P001,W01,0.0,523,True,weekly
10/06/2024,P001,W01,0.0,523,True,weekly
"June 17, 2024",P001,W01,0.0,523,True,weekly
2024-06-24,P001,W01,0.0,523,True,weekly
"July 1, 2024",P001,W01,0.0,523,True,weekly
08/07/2024,P001,W01,0.0,523,True,weekly
2024-07-15,P001,W01,0.0,523,True,weekly
2024-07-22,P001,W01,0.0,523,True,weekly
29/07/2024,P001,W01,0.0,523,True,weekly
2024-08-05,P001,W01,0.0,523,True,weekly
2024-08-12,P001,W01,0.0,523,True,weekly
19/08/2024,P001,W01,0.0,523,True,weekly
2024-08-26,P001,W01,0.0,523,True,weekly
02/09/2024,P001,W01,0.0,523,True,weekly
2024-09-09,P001,W01,0.0,523,True,weekly
16/09/2024,P001,W01,0.0,523,True,weekly
2024-09-23,P001,W01,0.0,523,True,weekly
30/09/2024,P001,W01,0.0,523,True,weekly
07/10/2024,P001,W01,0.0,523,True,weekly
2024-10-14,P001,W01,0.0,523,True,weekly
2024-10-21,P001,W01,360.0,523,False,weekly
2024-10-28,P001,W01,527.0,523,False,weekly
2024-11-04,P001,W01,631.0,523,False,weekly
11/11/2024,P001,W01,425.0,523,False,weekly
18/11/2024,P001,W01,579.0,523,False,weekly
25/11/2024,P001,W01,905.0,523,False,weekly
"December 2, 2024",P001,W01,1150.0,523,False,weekly
"December 9, 2024",P001,W01,948.0,523,False,weekly
2024-12-16,P001,W01,869.0,523,False,weekly
23/12/2024,P001,W01,1175.0,523,False,weekly
2024-12-30,P001,W01,968.0,523,False,weekly
2025-01-06,P001,W01,1151.0,523,False,weekly
"January 13, 2025",P001,W01,1640.0,523,False,weekly
20/01/2025,P001,W01,1757.0,523,False,weekly
2025-01-27,P001,W01,2049.0,523,False,weekly
03/02/2025,P001,W01,1859.0,523,False,weekly
"February 10, 2025",P001,W01,2025.0,523,False,weekly
"February 17, 2025",P001,W01,1831.0,523,False,weekly
24/02/2025,P001,W01,1952.0,523,False,weekly
03/03/2025,P001,W01,2192.0,523,False,weekly
2025-03-10,P001,W01,2325.0,523,False,weekly
2025-03-17,P001,W01,2081.0,523,False,weekly
2025-03-24,P001,W01,2359.0,523,False,weekly
31/03/2025,P001,W01,2430.0,523,False,weekly
"April 7, 2025",P001,W01,,523,False,weekly
2025-04-14,P001,W01,2432.0,523,False,weekly
"April 21, 2025",P001,W01,2579.0,523,False,weekly
28/04/2025,P001,W01,2946.0,523,False,weekly
"May 5, 2025",P001,W01,2720.0,523,False,weekly
2025-05-12,P001,W01,2894.0,523,False,weekly
"May 19, 2025",P001,W01,2677.0,523,False,weekly
26/05/2025,P001,W01,2656.0,523,False,weekly
02/06/2025,P001,W01,2806.0,523,False,weekly
2025-06-09,P001,W01,2608.0,523,False,weekly
2025-06-16,P001,W01,2769.0,523,False,weekly
23/06/2025,P001,W01,2985.0,523,False,weekly
2025-06-30,P001,W01,3094.0,523,False,weekly
2025-07-07,P001,W01,2909.0,523,False,weekly
14/07/2025,P001,W01,3637.0,523,False,weekly
"July 21, 2025",P001,W01,3423.0,523,False,weekly
2025-07-28,P001,W01,3954.0,523,False,weekly
2025-08-04,P001,W01,3743.0,523,False,weekly
11/08/2025,P001,W01,3908.0,523,False,weekly
2025-08-18,P001,W01,4048.0,523,False,weekly
25/08/2025,P001,W01,3833.0,523,False,weekly
01/09/2025,P001,W01,3634.0,523,False,weekly
"September 8, 2025",P001,W01,4149.0,523,False,weekly
15/09/2025,P001,W01,4276.0,523,False,weekly
22/09/2025,P001,W01,4083.0,523,False,weekly
29/09/2025,P001,W01,4285.0,523,False,weekly
"October 6, 2025",P001,W01,4086.0,523,False,weekly
"October 13, 2025",P001,W01,4414.0,523,False,weekly
20/10/2025,P001,W01,4197.0,523,False,weekly
27/10/2025,P001,W01,4841.0,523,False,weekly
"November 3, 2025",P001,W01,4638.0,523,False,weekly
2025-11-10,P001,W01,4726.0,523,False,weekly
"November 17, 2025",P001,W01,4505.0,523,False,weekly
2025-11-24,P001,W01,4775.0,523,False,weekly
01/12/2025,P001,W01,5030.0,523,False,weekly
2025-12-08,P001,W01,4832.0,523,False,weekly
15/12/2025,P001,W01,4979.0,523,False,weekly
2025-12-22,P001,W01,4790.0,523,False,weekly
"December 29, 2025",P001,W01,4930.0,523,False,weekly
"January 1, 2024",P001,W02,1630.0,520,False,weekly
2024-01-08,P001,W02,1418.0,520,False,weekly
15/01/2024,P001,W02,1207.0,520,False,weekly
"January 22, 2024",P001,W02,999.0,520,False,weekly
29/01/2024,P001,W02,813.0,520,False,weekly
"February 5, 2024",P001,W02,609.0,520,False,weekly
2024-02-12,P001,W02,401.0,520,False,weekly
"February 19, 2024",P001,W02,201.0,520,False,weekly
2024-02-26,P001,W02,12.0,520,False,weekly
"March 4, 2024",P001,W02,0.0,520,True,weekly
2024-03-11,P001,W02,0.0,520,True,weekly
"March 18, 2024",P001,W02,0.0,520,True,weekly
"March 25, 2024",P001,W02,0.0,520,True,weekly
2024-04-01,P001,W02,0.0,520,True,weekly
"April 8, 2024",P001,W02,0.0,520,True,weekly
"April 15, 2024",P001,W02,0.0,520,True,weekly
"April 22, 2024",P001,W02,0.0,520,True,weekly
"April 29, 2024",P001,W02,0.0,520,True,weekly
2024-05-06,P001,W02,,520,True,weekly
13/05/2024,P001,W02,,520,True,weekly
20/05/2024,P001,W02,0.0,520,True,weekly
"May 27, 2024",P001,W02,0.0,520,True,weekly
03/06/2024,P001,W02,0.0,520,True,weekly
2024-06-10,P001,W02,0.0,520,True,weekly
"June 17, 2024",P001,W02,0.0,520,True,weekly
2024-06-24,P001,W02,0.0,520,True,weekly
01/07/2024,P001,W02,0.0,520,True,weekly
2024-07-08,P001,W02,0.0,520,True,weekly
15/07/2024,P001,W02,0.0,520,True,weekly
"July 22, 2024",P001,W02,0.0,520,True,weekly
"July 29, 2024",P001,W02,0.0,520,True,weekly
05/08/2024,P001,W02,,520,True,weekly
2024-08-12,P001,W02,0.0,520,True,weekly
"August 19, 2024",P001,W02,0.0,520,True,weekly
2024-08-26,P001,W02,0.0,520,True,weekly
2024-09-02,P001,W02,0.0,520,True,weekly
"September 9, 2024",P001,W02,0.0,520,True,weekly
16/09/2024,P001,W02,0.0,520,True,weekly
23/09/2024,P001,W02,0.0,520,True,weekly
2024-09-30,P001,W02,0.0,520,True,weekly
07/10/2024,P001,W02,0.0,520,True,weekly
14/10/2024,P001,W02,0.0,520,True,weekly
"October 21, 2024",P001,W02,167.0,520,False,weekly
28/10/2024,P001,W02,0.0,520,True,weekly
2024-11-04,P001,W02,15.0,520,False,weekly
2024-11-11,P001,W02,0.0,520,True,weekly
"November 18, 2024",P001,W02,100.0,520,False,weekly
25/11/2024,P001,W02,0.0,520,True,weekly
02/12/2024,P001,W02,105.0,520,False,weekly
"December 9, 2024",P001,W02,318.0,520,False,weekly
2024-12-16,P001,W02,107.0,520,False,weekly
23/12/2024,P001,W02,410.0,520,False,weekly
2024-12-30,P001,W02,399.0,520,False,weekly
2025-01-06,P001,W02,194.0,520,False,weekly
2025-01-13,P001,W02,670.0,520,False,weekly
"January 20, 2025",P001,W02,722.0,520,False,weekly
2025-01-27,P001,W02,518.0,520,False,weekly
2025-02-03,P001,W02,721.0,520,False,weekly
10/02/2025,P001,W02,690.0,520,False,weekly
17/02/2025,P001,W02,,520,False,weekly
24/02/2025,P001,W02,760.0,520,False,weekly
2025-03-03,P001,W02,770.0,520,False,weekly
10/03/2025,P001,W02,1089.0,520,False,weekly
"March 17, 2025",P001,W02,1347.0,520,False,weekly
2025-03-24,P001,W02,1528.0,520,False,weekly
31/03/2025,P001,W02,1574.0,520,False,weekly
2025-04-07,P001,W02,1786.0,520,False,weekly
"April 14, 2025",P001,W02,1589.0,520,False,weekly
2025-04-21,P001,W02,1794.0,520,False,weekly
28/04/2025,P001,W02,1598.0,520,False,weekly
"May 5, 2025",P001,W02,1787.0,520,False,weekly
2025-05-12,P001,W02,2119.0,520,False,weekly
"May 19, 2025",P001,W02,1907.0,520,False,weekly
"May 26, 2025",P001,W02,1853.0,520,False,weekly
"June 2, 2025",P001,W02,2255.0,520,False,weekly
2025-06-09,P001,W02,2057.0,520,False,weekly
2025-06-16,P001,W02,2247.0,520,False,weekly
"June 23, 2025",P001,W02,,520,False,weekly
"June 30, 2025",P001,W02,,520,False,weekly
"July 7, 2025",P001,W02,2465.0,520,False,weekly
2025-07-14,P001,W02,2652.0,520,False,weekly
21/07/2025,P001,W02,2452.0,520,False,weekly
28/07/2025,P001,W02,2772.0,520,False,weekly
04/08/2025,P001,W02,3001.0,520,False,weekly
11/08/2025,P001,W02,3137.0,520,False,weekly
"August 18, 2025",P001,W02,2913.0,520,False,weekly
"August 25, 2025",P001,W02,3212.0,520,False,weekly
2025-09-01,P001,W02,3228.0,520,False,weekly
08/09/2025,P001,W02,3416.0,520,False,weekly
2025-09-15,P001,W02,3613.0,520,False,weekly
22/09/2025,P001,W02,3417.0,520,False,weekly
2025-09-29,P001,W02,3530.0,520,False,weekly
"October 6, 2025",P001,W02,3859.0,520,False,weekly
2025-10-13,P001,W02,3661.0,520,False,weekly
"October 20, 2025",P001,W02,3801.0,520,False,weekly
27/10/2025,P001,W02,3881.0,520,False,weekly
03/11/2025,P001,W02,4008.0,520,False,weekly
"November 10, 2025",P001,W02,3789.0,520,False,weekly
2025-11-17,P001,W02,4065.0,520,False,weekly
"November 24, 2025",P001,W02,4354.0,520,False,weekly
"December 1, 2025",P001,W02,4457.0,520,False,weekly
"December 8, 2025",P001,W02,4252.0,520,False,weekly
"December 15, 2025",P001,W02,4475.0,520,False,weekly
2025-12-22,P001,W02,4282.0,520,False,weekly
"December 29, 2025",P001,W02,4511.0,520,False,weekly
2024-01-01,P001,W03,1267.0,490,False,weekly
2024-01-08,P001,W03,1079.0,490,False,weekly
"January 15, 2024",P001,W03,873.0,490,False,weekly
2024-01-22,P001,W03,685.0,490,False,weekly
29/01/2024,P001,W03,506.0,490,False,weekly
2024-02-05,P001,W03,309.0,490,False,weekly
12/02/2024,P001,W03,94.0,490,False,weekly
2024-02-19,P001,W03,0.0,490,True,weekly
"February 26, 2024",P001,W03,0.0,490,True,weekly
04/03/2024,P001,W03,0.0,490,True,weekly
2024-03-11,P001,W03,0.0,490,True,weekly
"March 18, 2024",P001,W03,,490,True,weekly
"March 25, 2024",P001,W03,0.0,490,True,weekly
"April 1, 2024",P001,W03,0.0,490,True,weekly
08/04/2024,P001,W03,0.0,490,True,weekly
2024-04-15,P001,W03,0.0,490,True,weekly
22/04/2024,P001,W03,0.0,490,True,weekly
"April 29, 2024",P001,W03,0.0,490,True,weekly
06/05/2024,P001,W03,0.0,490,True,weekly
2024-05-13,P001,W03,0.0,490,True,weekly
20/05/2024,P001,W03,0.0,490,True,weekly
"May 27, 2024",P001,W03,0.0,490,True,weekly
03/06/2024,P001,W03,0.0,490,True,weekly
10/06/2024,P001,W03,,490,True,weekly
"June 17, 2024",P001,W03,0.0,490,True,weekly
24/06/2024,P001,W03,0.0,490,True,weekly
01/07/2024,P001,W03,0.0,490,True,weekly
08/07/2024,P001,W03,0.0,490,True,weekly
15/07/2024,P001,W03,0.0,490,True,weekly
"July 22, 2024",P001,W03,0.0,490,True,weekly
"July 29, 2024",P001,W03,0.0,490,True,weekly
"August 5, 2024",P001,W03,0.0,490,True,weekly
"August 12, 2024",P001,W03,0.0,490,True,weekly
"August 19, 2024",P001,W03,0.0,490,True,weekly
2024-08-26,P001,W03,0.0,490,True,weekly
02/09/2024,P001,W03,0.0,490,True,weekly
09/09/2024,P001,W03,0.0,490,True,weekly
16/09/2024,P001,W03,0.0,490,True,weekly
"September 23, 2024",P001,W03,0.0,490,True,weekly
2024-09-30,P001,W03,0.0,490,True,weekly
07/10/2024,P001,W03,0.0,490,True,weekly
"October 14, 2024",P001,W03,0.0,490,True,weekly
21/10/2024,P001,W03,0.0,490,True,weekly
"October 28, 2024",P001,W03,291.0,490,False,weekly
04/11/2024,P001,W03,512.0,490,False,weekly
11/11/2024,P001,W03,323.0,490,False,weekly
"November 18, 2024",P001,W03,598.0,490,False,weekly
"November 25, 2024",P001,W03,,490,False,weekly
02/12/2024,P001,W03,554.0,490,False,weekly
2024-12-09,P001,W03,831.0,490,False,weekly
2024-12-16,P001,W03,899.0,490,False,weekly
23/12/2024,P001,W03,719.0,490,False,weekly
30/12/2024,P001,W03,1062.0,490,False,weekly
"January 6, 2025",P001,W03,1204.0,490,False,weekly
13/01/2025,P001,W03,1049.0,490,False,weekly
"January 20, 2025",P001,W03,1155.0,490,False,weekly
2025-01-27,P001,W03,963.0,490,False,weekly
03/02/2025,P001,W03,1300.0,490,False,weekly
"February 10, 2025",P001,W03,1430.0,490,False,weekly
2025-02-17,P001,W03,1213.0,490,False,weekly
2025-02-24,P001,W03,1426.0,490,False,weekly
03/03/2025,P001,W03,1261.0,490,False,weekly
2025-03-10,P001,W03,1553.0,490,False,weekly
17/03/2025,P001,W03,1693.0,490,False,weekly
"March 24, 2025",P001,W03,1563.0,490,False,weekly
2025-03-31,P001,W03,,490,False,weekly
"April 7, 2025",P001,W03,1588.0,490,False,weekly
14/04/2025,P001,W03,1731.0,490,False,weekly
21/04/2025,P001,W03,1553.0,490,False,weekly
28/04/2025,P001,W03,1744.0,490,False,weekly
05/05/2025,P001,W03,2135.0,490,False,weekly
12/05/2025,P001,W03,2159.0,490,False,weekly
2025-05-19,P001,W03,1960.0,490,False,weekly
26/05/2025,P001,W03,2093.0,490,False,weekly
2025-06-02,P001,W03,2365.0,490,False,weekly
