product_id,product_name,category,sub_category,unit_cost,unit_price,primary_supplier_id,launch_date,is_active
P001,Footwear_Item_1,Footwear,Formal,243.92,309.39,S006,2024-10-07,True
P002,Personal Care_Item_2,Personal Care,Haircare,163.88,204.15,S015,"January 5, 2025",True
P003,Footwear_Item_3,Footwear,Casual,225.97,301.13,S012,23/12/2024,True
P004,Electronics Accessories_Item_4, Electronics Accessories ,Small Appliances,254.48,337.01,S006,01/07/2023,True
P005,Home & Kitchen_Item_5,HOME & KITCHEN,Storage,218.67,278.31,S023,11/10/2018,False
P006,Electronics Accessories_Item_6,Electronics Accessories,Small Appliances,228.73,304.33,S026,01/06/2025,True
P007,Grocery_Item_7,Grocery,Rice & Grains,290.28,415.28,S003,01/10/2021,True
P008,Grocery_Item_8,Grocery,Rice & Grains,149.32,192.67,S002,2021-10-14,True
P009,Electronics Accessories_Item_9,Electronics Accessories,Mobile Accessories,73.67,89.07,S006,"February 23, 2023",False
P010,Electronics Accessories_Item_10,Electronics Accessories,Mobile Accessories,284.71,359.63,S030,2023-09-28,True
P011,Grocery_Item_11,Grocery,Rice & Grains,73.32,92.99,S038,"May 8, 2025",True
P012,Personal Care_Item_12,PERSONAL CARE,Oral Care,132.44,৳157.52,S007,"February 7, 2022",True
P013,Personal Care_Item_13,Personal Care,Oral Care,226.5,৳271.54,S014,"May 7, 2022",False
P014,Stationery_Item_14,Stationery,School Supplies,230.03,311.78,S024,2023-07-14,False
P015,Personal Care_Item_15,Personal Care,Skincare,152.6,৳191.03,S015,"March 28, 2019",True
P016,Home & Kitchen_Item_16,Home & Kitchen,Cookware,171.71,246.66,S017,12/09/2019,True
P017,Beverages_Item_17,Beverages,Tea & Coffee,,264.43,S001,25/06/2022,True
P018,Home & Kitchen_Item_18, Home & Kitchen ,Cookware,121.59,৳143.44,S024,"July 25, 2017",True
P019,Apparel_Item_19,Apparel,Womenswear,398.55,548.43,S031,2019-10-23,True
P020,Stationery_Item_20,Stationery,School Supplies,107.83,152.51,S024,2023-04-17,True
P021,Home & Kitchen_Item_21,Home & Kitchen,Cookware,,199.78,S017,"July 21, 2025",True
P022,Grocery_Item_22,Grocery,Rice & Grains,140.44,170.02,S039,2021-07-21,True
P023,Grocery_Item_23,Grocery,Rice & Grains,193.23,232.98,S019,"July 2, 2020",True
P024,Apparel_Item_24,Apparel,Menswear,387.49,506.3,S031,"November 10, 2020",True
P025,Electronics Accessories_Item_25,Electronics Accessories,Mobile Accessories,104.37,৳134.69,S012,03/01/2023,True
P026,Grocery_Item_26,Grocery,Spices,228.54,280.61,S038,2021-10-09,True
P027,Grocery_Item_27,GROCERY,Cooking Oil,250.94,291.98,S039,16/03/2017,True
P028,Personal Care_Item_28,Personal Care,Oral Care,320.87,415.35,S004,2021-09-22,False
P029,Grocery_Item_29,Grocery,Spices,114.64,164.83,S039,04/07/2020,True
P030,Electronics Accessories_Item_30,Electronics Accessories,Small Appliances,111.93,150.63,S030,2023-02-21,True
P031,Beverages_Item_31,Beverages,Soft Drinks,163.07,211.77,S001,01/09/2024,True
P032,Grocery_Item_32,Grocery,Snacks,164.9,195.11,S038,"June 7, 2025",True
P033,Stationery_Item_33,Stationery,School Supplies,100.13,122.73,S003,07/05/2022,True
P034,Grocery_Item_34,Grocery,Rice & Grains,254.11,314.7,S002,2020-03-06,True
