promo_id,product_id,campaign_name,discount_pct,start_date,end_date,channel
PROMO0001,P149,Season Clearance,44.0,2025-10-13,18/10/2025,Both
PROMO0002,P060,Season Clearance,25.0,03/12/2025,"December 6, 2025",BOTH
PROMO0003,P022,Buy More Save More,16.0,15/11/2025,24/11/2025,In-store
PROMO0004,P176,Eid Special,34.0,"January 2, 2024","January 12, 2024",In-store
PROMO0005,P134,Anniversary Discount,44.0,"February 21, 2025",27/02/2025,In-store
PROMO0006,P006,Anniversary Discount,21.0,18/03/2025,26/03/2025,Online
PROMO0007,P130,Anniversary Discount,37.0,"October 25, 2024",2024-11-02,In-store
PROMO0008,P045,Season Clearance,15.0,19/03/2025,2025-04-02,In-store
PROMO0009,P100,Festive Combo Offer,36.0,2024-10-15,2024-10-29,Online
PROMO0010,P123,Eid Special,33.0,2025-01-28,07/02/2025,Online
PROMO0011,P052,Anniversary Discount,38.0,"March 11, 2025","March 17, 2025",In-store
PROMO0012,P032,New Year Sale,,2025-04-16,2025-04-30,In-store
PROMO0013,P110,New Year Sale,41.0,11/03/2025,21/03/2025,Both
PROMO0014,P149,Buy More Save More,20.0,"December 31, 2024",10/01/2025,IN-STORE
PROMO0015,P077,Anniversary Discount,38.0,26/12/2024,29/12/2024,In-store
PROMO0016,P146,Festive Combo Offer,30.0,18/10/2024,2024-10-29,both
PROMO0017,P036,Weekend Flash Deal,37.0,"February 23, 2025",2025-03-02,In-store
PROMO0018,P135,Weekend Flash Deal,19.0,"June 17, 2025",21/06/2025,In-store
PROMO0019,P052,Weekend Flash Deal,31.0,"April 1, 2024",2024-04-14,Both
PROMO0020,P002,Eid Special,33.0,2024-06-12,17/06/2024,IN-STORE
PROMO0021,P053,Festive Combo Offer,24.0,28/10/2025,2025-11-07,Online
PROMO0022,P042,New Year Sale,36.0,17/09/2024,28/09/2024, In-store 
PROMO0023,P075,Weekend Flash Deal,23.0,23/11/2024,01/12/2024,In-store
PROMO0024,P121,New Year Sale,18.0,2025-04-17,2025-04-26,In-store
PROMO0025,P016,Eid Special,35.0,2025-01-01,"January 12, 2025",Online
PROMO0026,P108,Weekend Flash Deal,21.0,2024-01-30,"February 12, 2024",Both
PROMO0027,P139,Weekend Flash Deal,29.0,"November 3, 2024",17/11/2024,Online
PROMO0028,P071,Festive Combo Offer,27.0,06/11/2024,16/11/2024,In-store
PROMO0029,P011,Anniversary Discount,42.0,2024-12-14,2024-12-21,Both
PROMO0030,P060,Season Clearance,21.0,2024-02-24,29/02/2024,In-store
PROMO0031,P051,Weekend Flash Deal,,"March 29, 2024",2024-04-07,In-store
PROMO0032,P101,Festive Combo Offer,18.0,2025-04-24,"May 4, 2025",Online
PROMO0033,P172,Buy More Save More,36.0,17/12/2024,"December 21, 2024",In-store
PROMO0034,P052,Festive Combo Offer,37.0,2025-05-17,"May 23, 2025",Online
PROMO0035,P074,Weekend Flash Deal,40.0,26/06/2024,"July 2, 2024",Online
PROMO0036,P003,Buy More Save More,15.0,2024-08-03,"August 10, 2024",In-store
PROMO0037,P158,Anniversary Discount,36.0,"December 26, 2024",08/01/2025,Online
PROMO0038,P046,Anniversary Discount,34.0,2024-10-03,2024-10-14,Online
PROMO0039,P110,Anniversary Discount,43.0,26/02/2024,"March 4, 2024",In-store
PROMO0040,P138,Buy More Save More,32.0,"March 23, 2025",05/04/2025,Both
PROMO0041,P065,Festive Combo Offer,19.0,2024-03-08,"March 12, 2024",In-store
PROMO0042,P075,Boishakh Bonanza,34.0,"November 24, 2024",29/11/2024,In-store
PROMO0043,P066,Buy More Save More,41.0,13/12/2025,26/12/2025,In-store
PROMO0044,P118,Eid Special,29.0,01/03/2025,"March 4, 2025",in-store
PROMO0045,P025,Festive Combo Offer,31.0,2024-10-13,"October 25, 2024",Both
PROMO0046,P107,New Year Sale,34.0,01/09/2025,2025-09-14,Both
PROMO0047,P171,Anniversary Discount,,2025-09-02,05/09/2025,In-store
PROMO0048,P040,Eid Special,22.0,"August 20, 2025",31/08/2025,In-store
PROMO0049,P150,Buy More Save More,10.0,31/08/2025,2025-09-11,In-store
PROMO0050,P069,Festive Combo Offer,,2024-02-02,09/02/2024,Online
PROMO0051,P159,Weekend Flash Deal,17.0,20/09/2025,2025-09-23,Both
PROMO0052,P012,Weekend Flash Deal,37.0,2024-03-26,30/03/2024,Online
PROMO0053,P061,Anniversary Discount,34.0,2025-06-13,18/06/2025,Both
PROMO0054,P016,Anniversary Discount,,"December 9, 2024",12/12/2024,Online
PROMO0055,P042,Festive Combo Offer,37.0,"January 16, 2025",28/01/2025, In-store 
PROMO0056,P002,Anniversary Discount,38.0,2025-08-16,"August 27, 2025",Online
PROMO0057,P010,Buy More Save More,43.0,12/04/2025,24/04/2025,Online
PROMO0058,P054,Eid Special,34.0,"October 21, 2024","November 1, 2024",both
PROMO0059,P125,Eid Special,23.0,2025-11-07,18/11/2025,Both
PROMO0060,P163,Season Clearance,22.0,09/10/2025,"October 16, 2025",In-store
PROMO0061,P054,Weekend Flash Deal,,2025-08-17,2025-08-31,In-store
PROMO0062,P093,Anniversary Discount,43.0,"December 6, 2024","December 15, 2024",Online
PROMO0063,P027,New Year Sale,19.0,2024-09-25,"October 2, 2024",In-store
PROMO0064,P111,Boishakh Bonanza,43.0,"February 28, 2025",13/03/2025,In-store
PROMO0065,P062,Eid Special,23.0,2024-07-21,02/08/2024,In-store
PROMO0066,P062,New Year Sale,19.0,27/11/2025,09/12/2025,Both
PROMO0067,P054,New Year Sale,37.0,2024-07-10,23/07/2024,Both
PROMO0068,P153,New Year Sale,16.0,10/12/2025,13/12/2025,In-store
PROMO0069,P023,Weekend Flash Deal,11.0,"January 18, 2024",2024-01-31,Both
PROMO0070,P132,Anniversary Discount,,2025-09-02,2025-09-10,Both
PROMO0071,P109,Weekend Flash Deal,,26/05/2024,30/05/2024,in-store
PROMO0072,P125,Anniversary Discount,24.0,2025-04-07,17/04/2025,Online
PROMO0073,P142,New Year Sale,35.0,22/09/2025,06/10/2025,Online
PROMO0074,P059,Festive Combo Offer,17.0,2025-11-07,"November 17, 2025",In-store
PROMO0075,P145,Season Clearance,11.0,2025-08-01,2025-08-12,In-store
PROMO0076,P023,Season Clearance,16.0,2024-10-30,2024-11-08,In-store
PROMO0077,P022,New Year Sale,11.0,"October 27, 2025",04/11/2025,In-store
PROMO0078,P137,Weekend Flash Deal,26.0,"December 8, 2025",13/12/2025,In-store
PROMO0079,P123,Anniversary Discount,26.0,"November 19, 2025",2025-11-25,In-store
PROMO0080,P011,Boishakh Bonanza,11.0,2025-12-08,"December 12, 2025",In-store
PROMO0081,P061,Anniversary Discount,35.0,"December 19, 2024",29/12/2024,In-store
PROMO0082,P016,Boishakh Bonanza,37.0,"May 8, 2025","May 22, 2025", In-store 
PROMO0083,P109,Buy More Save More,30.0,"August 30, 2025",2025-09-12,In-store
PROMO0084,P004,Eid Special,,07/01/2025,"January 21, 2025",In-store
PROMO0085,P079,New Year Sale,25.0,2024-06-05,17/06/2024,Both
PROMO0086,P127,Weekend Flash Deal,33.0,02/02/2024,15/02/2024,Both
PROMO0087,P001,Weekend Flash Deal,35.0,2025-10-27,2025-11-01,Online
PROMO0088,P169,Boishakh Bonanza,11.0,2024-09-19,"September 27, 2024",Online
PROMO0089,P065,Buy More Save More,34.0,"April 10, 2024",2024-04-16,online
PROMO0090,P040,Buy More Save More,33.0,2024-11-12,"November 20, 2024",In-store
PROMO0091,P030,Festive Combo Offer,32.0,08/11/2025,"November 19, 2025",In-store
PROMO0092,P156,Eid Special,12.0,"January 31, 2024",13/02/2024,In-store
PROMO0093,P001,Boishakh Bonanza,43.0,"August 26, 2024","September 3, 2024",in-store
PROMO0094,P094,Eid Special,27.0,07/07/2024,"July 17, 2024",Online
PROMO0095,P037,Boishakh Bonanza,32.0,29/11/2025,"December 12, 2025",Online
PROMO0096,P108,Weekend Flash Deal,39.0,2024-01-25,"February 8, 2024",Online
PROMO0097,P136,New Year Sale,34.0,2025-10-25,29/10/2025,BOTH
PROMO0098,P152,Anniversary Discount,,2025-01-29,12/02/2025,In-store
PROMO0099,P123,Weekend Flash Deal,44.0,21/01/2025,"January 30, 2025",Online
PROMO0100,P131,Weekend Flash Deal,40.0,2025-03-27,01/04/2025,In-store
PROMO0101,P038,Anniversary Discount,33.0,"January 5, 2025",18/01/2025,Both
PROMO0102,P093,Boishakh Bonanza,36.0,2025-03-22,"March 25, 2025",In-store
PROMO0103,P049,Weekend Flash Deal,42.0,2025-05-23,29/05/2025,Online
PROMO0104,P077,Anniversary Discount,15.0,"July 1, 2024","July 5, 2024",Online
PROMO0105,P177,Festive Combo Offer,26.0,"February 28, 2024",11/03/2024,In-store
PROMO0106,P150,New Year Sale,30.0,"April 12, 2024",20/04/2024,IN-STORE
PROMO0107,P033,Season Clearance,37.0,2025-08-19,"August 25, 2025",IN-STORE
PROMO0108,P076,New Year Sale,39.0,2025-03-09,23/03/2025,Online
PROMO0109,P061,Boishakh Bonanza,38.0,2024-02-12,"February 26, 2024",Online
PROMO0110,P146,Season Clearance,14.0,30/11/2024,"December 7, 2024",In-store
PROMO0111,P046,Weekend Flash Deal,29.0,2024-05-05,10/05/2024,Both
PROMO0112,P036,Weekend Flash Deal,27.0,2025-04-26,04/05/2025, In-store 
PROMO0113,P023,New Year Sale,39.0,"July 9, 2024",20/07/2024,In-store
PROMO0114,P087,Anniversary Discount,17.0,24/10/2024,"October 29, 2024",In-store
PROMO0115,P101,Weekend Flash Deal,34.0,28/03/2025,10/04/2025,In-store
PROMO0116,P061,Weekend Flash Deal,24.0,2025-09-30,"October 8, 2025",both
PROMO0117,P032,Anniversary Discount,36.0,2025-11-14,2025-11-25,In-store
PROMO0118,P124,Anniversary Discount,21.0,11/11/2025,24/11/2025,In-store
