po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,actual_delivery_date,order_qty,unit_cost,qty_received,qty_rejected,rejection_reason,po_status
PO000001,S006,P001,W01,"October 7, 2024",2024-10-15,20/10/2024,423,243.92,417,6.0,Wrong specification,Delayed
PO000002,S006,P001,W01,2024-10-15,23/10/2024,"October 23, 2024",362,243.92,352,10.0,damaged in transit,Delivered
PO000003,S006,P001,W01,23/10/2024,2024-10-31,"October 31, 2024",319,243.92,311,8.0,DAMAGED IN TRANSIT,Delivered
PO000004,S006,P001,W01,"November 4, 2024","November 12, 2024","November 13, 2024",362,243.92,355,7.0,Quality defect,Delayed
PO000005,S006,P001,W01,12/11/2024,2024-11-20,20/11/2024,535,243.92,528,7.0,Quality defect,Delivered
PO000006,S006,P001,W01,22/11/2024,30/11/2024,2024-11-30,447,243.92,438,9.0,Expired/near-expiry,Delivered
PO000007,S006,P001,W01,2024-12-04,2024-12-12,2024-12-12,139,243.92,135,4.0,Quality defect,Delivered
PO000008,S006,P001,W01,12/12/2024,20/12/2024,20/12/2024,519,243.92,509,,Quality defect,Delivered
PO000009,S006,P001,W01,2024-12-25,"January 2, 2025",2025-01-03,381,243.92,376,5.0,Quality defect,Delayed
PO000010,S006,P001,W01,"January 2, 2025","January 10, 2025",13/01/2025,674,243.92,661,13.0,Quality defect,Delayed
PO000011,S006,P001,W01,"January 10, 2025",2025-01-18,2025-01-20,342,243.92,323,19.0,Wrong specification,Partial
PO000012,S006,P001,W01,2025-01-19,2025-01-27,2025-01-27,518,243.92,508,10.0,Wrong specification,Delivered
PO000013,S006,P001,W01,"January 27, 2025","February 4, 2025","February 5, 2025",362,243.92,360,2.0,Damaged in transit,Delayed
PO000014,S006,P001,W01,06/02/2025,2025-02-19,"February 19, 2025",314,243.92,308,6.0,Damaged in transit,Delivered
PO000015,S006,P001,W01,"February 19, 2025",2025-02-27,27/02/2025,443,243.92,435,8.0,Damaged in transit,Delivered
PO000016,S006,P001,W01,02/03/2025,2025-03-10,"March 10, 2025",340,243.92,339,1.0,Wrong specification,Delivered
PO000017,S006,P001,W01,"March 12, 2025",2025-03-20,21/03/2025,497,243.92,484,13.0,Expired/near-expiry,Delayed
PO000018,S006,P001,W01,2025-03-20,2025-03-28,2025-03-28,280,243.92,273,7.0,Wrong specification,Delivered
PO000019,S006,P001,W01,2025-04-01,2025-04-09,"April 9, 2025",418,243.92,411,7.0,Quality defect,Delivered
PO000020,S006,P001,W01,2025-04-11,2025-04-19,2025-04-20,363,243.92,356,7.0,Quality defect,Delayed
PO000021,S006,P001,W01,"April 18, 2025",2025-04-26,2025-04-27,598,243.92,585,13.0,Expired/near-expiry,Delayed
PO000022,S006,P001,W01,01/05/2025,2025-05-09,2025-05-09,371,243.92,362,9.0,Quality defect,Delivered
PO000023,S006,P001,W01,12/05/2025,"May 20, 2025","May 20, 2025",197,243.92,194,3.0,Damaged in transit,Delivered
PO000024,S006,P001,W01,2025-05-22,"May 30, 2025",30/05/2025,365,243.92,353,12.0,Damaged in transit,Delivered
PO000025,S006,P001,W01,"June 1, 2025",09/06/2025,2025-06-10,357,243.92,353,4.0,Damaged in transit,Delayed
PO000026,S006,P001,W01,"June 12, 2025",2025-06-20,"June 20, 2025",437,243.92,429,8.0,Damaged in transit,Delivered
PO000027,S006,P001,W01,20/06/2025,"June 28, 2025","June 28, 2025",335,243.92,327,8.0,Quality defect,Delivered
PO000028,S006,P001,W01,"June 27, 2025",2025-07-05,"July 10, 2025",488,243.92,483,5.0,Expired/near-expiry,Delayed
PO000029,S006,P001,W01,2025-07-05,13/07/2025,2025-07-14,441,243.92,429,12.0,Damaged in transit,Delayed
PO000030,S006,P001,W01,"July 13, 2025","July 21, 2025","July 25, 2025",419,243.92,412,7.0,Damaged in transit,Delayed
PO000031,S006,P001,W01,20/07/2025,2025-07-28,28/07/2025,332,243.92,326,6.0,Quality defect,Delivered
PO000032,S006,P001,W01,28/07/2025,"August 5, 2025",06/08/2025,389,243.92,378,11.0,quality defect,Delayed
PO000033,S006,P001,W01,2025-08-09,"August 17, 2025",17/08/2025,375,243.92,371,4.0,Wrong specification,Delivered
PO000034,S006,P001,W01,22/08/2025,2025-09-03,03/09/2025,426,243.92,417,9.0,Damaged in transit,Delivered
PO000035,S006,P001,W01,30/08/2025,07/09/2025,07/09/2025,315,243.92,308,7.0,wrong specification,Delivered
PO000036,S006,P001,W01,"September 6, 2025",14/09/2025,2025-09-14,335,243.92,331,4.0,Damaged in transit,Delivered
PO000037,S006,P001,W01,"September 17, 2025",25/09/2025,2025-09-25,407,243.92,401,6.0, Quality defect ,Delivered
PO000038,S006,P001,W01,2025-09-29,2025-10-07,"October 8, 2025",529,243.92,514,15.0,Wrong specification,Delayed
PO000039,S006,P001,W01,2025-10-12,2025-10-20,"October 21, 2025",484,243.92,479,5.0,Quality defect,Delayed
PO000040,S006,P001,W01,19/10/2025,2025-10-27,"October 27, 2025",380,243.92,375,5.0,Quality defect,Delivered
PO000041,S006,P001,W01,"October 31, 2025",08/11/2025,"November 8, 2025",302,243.92,298,4.0,Expired/near-expiry,Delivered
PO000042,S006,P001,W01,2025-11-12,2025-11-20,"November 21, 2025",496,243.92,488,8.0,quality defect,Delayed
PO000043,S006,P001,W01,"November 22, 2025",2025-11-30,2025-12-01,454,243.92,448,,Wrong specification,Delayed
PO000044,S006,P001,W01,04/12/2025,12/12/2025,"December 12, 2025",355,243.92,353,2.0,Wrong specification,Delivered
PO000045,S006,P001,W01,16/12/2025,24/12/2025,25/12/2025,345,243.92,341,4.0,Quality defect,Delayed
PO000046,S006,P001,W02,"October 11, 2024",2024-10-19,2024-10-19,260,243.92,255,5.0,Damaged in transit,Delivered
PO000047,S006,P001,W02,2024-10-24,2024-11-01,2024-11-01,129,243.92,126,3.0,Wrong specification,Delivered
PO000048,S006,P001,W02,"November 6, 2024","November 14, 2024",2024-11-14,242,243.92,241,1.0,Quality defect,Delivered
PO000049,S006,P001,W02,18/11/2024,"November 26, 2024",26/11/2024,301,243.92,299,2.0,Quality defect,Delivered
PO000050,S006,P001,W02,29/11/2024,07/12/2024,2024-12-07,411,243.92,403,8.0,Wrong specification,Delivered
PO000051,S006,P001,W02,09/12/2024,17/12/2024,2024-12-17,507,243.92,500,7.0,Expired/near-expiry,Delivered
PO000052,S006,P001,W02,2024-12-18,2024-12-26,26/12/2024,185,243.92,183,2.0,Damaged in transit,Delivered
PO000053,S006,P001,W02,31/12/2024,2025-01-08,08/01/2025,653,243.92,638,15.0,Expired/near-expiry,Delivered
PO000054,S006,P001,W02,"January 7, 2025",15/01/2025,2025-01-15,269,243.92,267,2.0,wrong specification,Delivered
