shipment_id,warehouse_id,store_id,carrier_id,dispatch_date,expected_arrival_date,actual_arrival_date,distance_km,shipment_cost,shipment_status
SH000001,W03,ST01,CR03,2024-01-03,2024-01-04,"January 5, 2024",12.5,972.38,Delayed
SH000002,W03,ST01,CR04,"January 5, 2024","January 6, 2024",2024-01-06,28.0,1897.51,On-time
SH000003,W03,ST01,CR01,"January 9, 2024",10/01/2024,10/01/2024,15.9,1326.74,On-time
SH000004,W03,ST01,CR04,2024-01-12,13/01/2024,13/01/2024,14.1,758.94,On-time
SH000005,W02,ST01,CR01,2024-01-16,19/01/2024,2024-01-19,417.6,23115.85,On-time
SH000006,W03,ST01,CR05,19/01/2024,2024-01-20,"January 20, 2024",25.0,1581.37,On-time
SH000007,W03,ST01,CR02,2024-01-22,"January 23, 2024",23/01/2024,22.8,1413.69,On-time
SH000008,W03,ST01,CR01,25/01/2024,26/01/2024,"January 26, 2024",8.2,716.52,On-time
SH000009,W03,ST01,CR02,"January 28, 2024",29/01/2024,29/01/2024,20.6,1603.52,On-time
SH000010,W03,ST01,CR01,"January 30, 2024",31/01/2024,31/01/2024,6.5,714.11,On-time
SH000011,W03,ST01,CR03,2024-02-02,03/02/2024,"February 3, 2024",21.8,1333.05,On-time
SH000012,W03,ST01,CR01,"February 6, 2024",2024-02-07,07/02/2024,29.6,1870.71,Lost
SH000013,W03,ST01,CR02,"February 8, 2024",09/02/2024,10/02/2024,20.6,1318.2,Damaged
SH000014,W03,ST01,CR03,2024-02-10,11/02/2024,"February 11, 2024",8.3,548.08,On-time
SH000015,W03,ST01,CR03,2024-02-14,"February 15, 2024",15/02/2024,11.1,1093.05,On-time
SH000016,W03,ST01,CR05,2024-02-17,"February 18, 2024",18/02/2024,23.1,1129.76,On-time
SH000017,W01,ST01,CR01,"February 21, 2024",23/02/2024,"February 23, 2024",210.3,8861.16,On-time
SH000018,W03,ST01,CR01,"February 24, 2024",25/02/2024,"February 25, 2024",32.4,1859.27,On-time
SH000019,W03,ST01,CR02,28/02/2024,2024-02-29,2024-03-02,12.0,872.25,Delayed
SH000020,W03,ST01,CR01,"March 3, 2024","March 4, 2024",2024-03-04,35.0,1561.11,On-time
SH000021,W03,ST01,CR03,2024-03-07,"March 8, 2024",08/03/2024,9.7,769.3,On-time
SH000022,W03,ST01,CR03,11/03/2024,12/03/2024,13/03/2024,26.0,1611.46,Delayed
SH000023,W03,ST01,CR03,13/03/2024,14/03/2024,18/03/2024,8.8,1036.87,Delayed
SH000024,W03,ST01,CR04,"March 16, 2024",17/03/2024,17/03/2024,31.5,2164.82,On-time
SH000025,W03,ST01,CR03,2024-03-19,"March 20, 2024","March 24, 2024",17.6,1075.64,Delayed
SH000026,W03,ST01,CR02,2024-03-23,"March 24, 2024",2024-03-26,26.3,1593.96,Delayed
SH000027,W03,ST01,CR02,25/03/2024,26/03/2024,"March 26, 2024",17.6,1277.26,On-time
SH000028,W03,ST01,CR03,2024-03-27,"March 28, 2024",28/03/2024,9.9,927.86,On-time
SH000029,W03,ST01,CR03,29/03/2024,30/03/2024,2024-03-30,31.8,1711.46,On-time
SH000030,W03,ST01,CR05,2024-04-01,2024-04-02,02/04/2024,24.8,1512.05,On-time
SH000031,W03,ST01,CR03,04/04/2024,2024-04-05,05/04/2024,31.3,1722.14,On-time
SH000032,W03,ST01,CR01,2024-04-07,2024-04-08,08/04/2024,5.8,626.55,On-time
SH000033,W03,ST01,CR05,11/04/2024,12/04/2024,"April 12, 2024",9.5,990.48,On-time
SH000034,W03,ST01,CR03,"April 13, 2024",2024-04-14,14/04/2024,26.3,1967.42,On-time
SH000035,W02,ST01,CR01,2024-04-17,2024-04-20,22/04/2024,417.6,16882.32,Delayed
SH000036,W03,ST01,CR03,"April 21, 2024","April 22, 2024",22/04/2024,20.3,1352.09,On-time
SH000037,W01,ST01,CR05,25/04/2024,27/04/2024,2024-04-27,130.7,9114.21,On-time
SH000038,W01,ST01,CR02,"April 28, 2024",30/04/2024,2024-05-03,210.3,12374.66,Delayed
SH000039,W02,ST01,CR03,"May 1, 2024","May 4, 2024",05/05/2024,417.6,17397.66,Delayed
SH000040,W03,ST01,CR03,05/05/2024,"May 6, 2024",07/05/2024,12.1,839.52,Damaged
SH000041,W03,ST01,CR04,2024-05-09,10/05/2024,10/05/2024,30.9,1529.41,On-time
SH000042,W03,ST01,CR02,11/05/2024,2024-05-12,"May 15, 2024",29.6,1992.86,Delayed
SH000043,W03,ST01,CR02,"May 15, 2024",16/05/2024,16/05/2024,16.8,1030.16,On-time
SH000044,W03,ST01,CR05,18/05/2024,19/05/2024,19/05/2024,12.8,730.1,On-time
SH000045,W03,ST01,CR05,2024-05-22,"May 23, 2024","May 23, 2024",19.9,1296.45,On-time
SH000046,W03,ST01,CR02,"May 25, 2024",26/05/2024,2024-05-26,12.8,1187.93,On-time
SH000047,W03,ST01,CR05,29/05/2024,2024-05-30,30/05/2024,16.5,1035.19,On-time
SH000048,W03,ST01,CR04,31/05/2024,2024-06-01,2024-06-01,29.4,1605.57,On-time
SH000049,W03,ST01,CR04,2024-06-03,2024-06-04,04/06/2024,9.1,574.48,On-time
SH000050,W03,ST01,CR01,05/06/2024,2024-06-06,2024-06-06,17.5,1381.69,On-time
SH000051,W03,ST01,CR02,2024-06-09,10/06/2024,10/06/2024,13.4,1148.68,On-time
SH000052,W03,ST01,CR04,"June 12, 2024",13/06/2024,2024-06-15,32.7,1604.68,Delayed
SH000053,W03,ST01,CR01,2024-06-14,2024-06-15,"June 15, 2024",24.5,1849.25,On-time
SH000054,W03,ST01,CR03,2024-06-17,2024-06-18,2024-06-19,30.8,1807.95,Delayed
SH000055,W03,ST01,CR01,"June 19, 2024","June 20, 2024","June 21, 2024",10.9,1052.27,Delayed
SH000056,W03,ST01,CR05,"June 23, 2024",24/06/2024,24/06/2024,31.7,2178.61,On-time
SH000057,W03,ST01,CR02,27/06/2024,"June 28, 2024",2024-06-28,8.1,572.79,Damaged
SH000058,W03,ST01,CR01,30/06/2024,01/07/2024,"July 1, 2024",23.0,1288.09,On-time
SH000059,W03,ST01,CR01,2024-07-02,2024-07-03,"July 3, 2024",17.5,902.11,On-time
SH000060,W03,ST01,CR01,2024-07-05,06/07/2024,06/07/2024,27.8,1936.4,On-time
SH000061,W03,ST01,CR05,"July 9, 2024",10/07/2024,10/07/2024,14.6,789.49,On-time
SH000062,W03,ST01,CR05,12/07/2024,"July 13, 2024","July 13, 2024",6.0,997.85,On-time
SH000063,W03,ST01,CR03,"July 14, 2024",15/07/2024,2024-07-19,14.5,863.94,Delayed
SH000064,W01,ST01,CR05,"July 18, 2024",2024-07-20,2024-07-20,210.3,10561.28,On-time
SH000065,W03,ST01,CR03,2024-07-22,23/07/2024,2024-07-25,33.0,1737.46,Delayed
SH000066,W03,ST01,CR03,2024-07-24,25/07/2024,25/07/2024,23.1,1645.95,On-time
SH000067,W03,ST01,CR05,28/07/2024,29/07/2024,29/07/2024,6.4,,On-time
SH000068,W03,ST01,CR01,"July 31, 2024","August 1, 2024","August 3, 2024",31.2,2141.07,Delayed
SH000069,W03,ST01,CR05,2024-08-02,2024-08-03,2024-08-03,21.6,2270.09,Damaged
SH000070,W02,ST01,CR04,05/08/2024,2024-08-08,"August 9, 2024",417.6,24979.57,Delayed
SH000071,W03,ST01,CR01,09/08/2024,2024-08-10,"August 10, 2024",27.1,1695.43,On-time
SH000072,W03,ST01,CR02,13/08/2024,"August 14, 2024",2024-08-14,10.1,1096.02,On-time
SH000073,W03,ST01,CR01,17/08/2024,"August 18, 2024",2024-08-22,9.4,615.63,Delayed
SH000074,W03,ST01,CR02,"August 21, 2024",22/08/2024,2024-08-25,14.7,1030.62,Delayed
SH000075,W03,ST01,CR05,2024-08-24,"August 25, 2024",25/08/2024,6.0,655.54,On-time
SH000076,W03,ST01,CR05,27/08/2024,"August 28, 2024","August 30, 2024",33.9,2052.12,Delayed
SH000077,W03,ST01,CR01,30/08/2024,31/08/2024,2024-08-31,25.4,1538.32,On-time
SH000078,W03,ST01,CR03,"September 2, 2024",2024-09-03,03/09/2024,21.6,1527.57,On-time
SH000079,W03,ST01,CR05,04/09/2024,"September 5, 2024","September 7, 2024",14.1,1178.34,Delayed
SH000080,W03,ST01,CR02,07/09/2024,"September 8, 2024",11/09/2024,30.5,1761.93,Delayed
