store_id,store_name,region,city,store_type,store_size_sqft,opening_date,manager_name
ST01,ACPL Store 1,Rajshahi,Bogura,Express,3085,2023-02-24,Manager_1
ST02,ACPL Store 2,Chattogram,chattogram,Standard,4275,"May 24, 2020",Manager_2
ST03,ACPL Store 3,Khulna,Jessore,Express,4203,18/11/2018,Manager_3
ST04,ACPL Store 4,Rajshahi,Rajshahi,Express,3249,24/07/2022,
ST05,ACPL Store 5,Dhaka,NARAYANGANJ,Express,5246,13/06/2021,Manager_5
ST06,ACPL Store 6,Barishal,Patuakhali,Standard,3739,2021-11-01,Manager_6
ST07,ACPL Store 7,Rajshahi,bogura,Standard,1211,14/07/2018,Manager_7
ST08,ACPL Store 8,Rajshahi,Bogura,Flagship,4777,"September 17, 2019",Manager_8
ST09,ACPL Store 9,Dhaka,Gazipur,Standard,3787,2022-03-16,Manager_9
ST10,ACPL Store 10,Chattogram,cox's bazar,Standard,4100,2022-07-23,Manager_10
ST11,ACPL Store 11,Chattogram,Chattogram,Express,3739,20/05/2020,Manager_11
ST12,ACPL Store 12,Barishal,Patuakhali,Express,3678,"May 29, 2022",Manager_12
ST13,ACPL Store 13,Sylhet,Moulvibazar,Standard,1270,"August 11, 2022",Manager_13
ST14,ACPL Store 14,Khulna,Khulna,Standard,3707,14/02/2020,Manager_14
ST15,ACPL Store 15,Chattogram,Cox's Bazar,Standard,4933,2022-12-02,Manager_15
ST16,ACPL Store 16,Dhaka,Gazipur,Standard,2380,"July 31, 2019",Manager_16
ST17,ACPL Store 17,Sylhet,sylhet,Flagship,3934,25/04/2019,Manager_17
ST18,ACPL Store 18,Dhaka, Dhaka ,Standard,960,26/09/2021,Manager_18
ST19,ACPL Store 19,Khulna,Khulna,Standard,2606,2021-06-27,Manager_19
ST20,ACPL Store 20,Sylhet,Sylhet,Standard,3070,07/10/2018,Manager_20
ST03,ACPL Store 3,Khulna,Jessore ,Express,4203,"November 18, 2018",Manager_3
